Station (alphabetical by borough),Borough,2015,2016,2017,2018,2019,2020,Change19-20,PercentChange,2020Rank
"138 St-Grand Concourse (4,5)",Bx,3480,3532,3486,3166,3324,1211,"-2,113",-0.636,380
"149 St-Grand Concourse (2,4,5)",Bx,14465,14460,14063,13081,12960,5814,"-7,146",-0.551,95
"161 St-Yankee Stadium (B,D,4)",Bx,27020,26947,26674,26034,25642,10112,"-15,530",-0.606,41
167 St (4),Bx,9923,9972,9466,9398,8486,4357,"-4,129",-0.487,145
"167 St (B,D)",Bx,10166,10439,10223,6342,8542,4405,"-4,137",-0.484,139
170 St (4),Bx,9507,9514,8910,8140,7926,3983,"-3,943",-0.497,162
"170 St (B,D)",Bx,7101,7225,7089,7913,6767,3127,"-3,640",-0.538,209
"174 St (2,5)",Bx,7619,7690,7466,6751,6644,3051,"-3,594",-0.541,214
"174-175 Sts (B,D)",Bx,5312,5519,5475,3221,4869,2496,"-2,372",-0.487,259
176 St (4),Bx,6160,6378,6232,5807,5518,2762,"-2,756",-0.499,233
"182-183 Sts (B,D)",Bx,5020,5177,4990,4752,4773,2377,"-2,396",-0.502,270
183 St (4),Bx,6372,6443,6271,5754,5641,2944,"-2,697",-0.478,222
"219 St (2,5)",Bx,3529,3423,3439,3335,3232,1478,"-1,754",-0.543,352
"225 St (2,5)",Bx,4591,4408,4340,3961,3898,1774,"-2,124",-0.545,325
231 St (1),Bx,9596,9749,9774,10287,9658,4184,"-5,475",-0.567,154
"233 St (2,5)",Bx,5632,5438,5138,4864,4768,2348,"-2,420",-0.507,273
238 St (1),Bx,4068,4350,4370,3225,3998,1908,"-2,091",-0.523,313
3 Av-138 St (6),Bx,7994,8008,8114,7801,8100,4005,"-4,095",-0.506,161
"3 Av-149 St (2,5)",Bx,24813,24808,24228,22357,22167,10187,"-11,979",-0.54,38
"Allerton Av (2,5)",Bx,5779,5530,5403,5144,5161,2443,"-2,718",-0.527,264
Baychester Av (5),Bx,4090,4064,3846,3551,3789,1666,"-2,123",-0.56,336
"Bedford Park Blvd (B,D)",Bx,7046,7236,7066,6419,6911,3099,"-3,812",-0.552,210
Bedford Park Blvd-Lehman College (4),Bx,6040,5912,5649,5170,5066,2206,"-2,860",-0.565,289
"Bronx Park East (2,5)",Bx,2868,2785,2676,2498,2526,1166,"-1,361",-0.539,384
Brook Av (6),Bx,6244,6226,6118,6040,5917,3009,"-2,909",-0.492,217
Buhre Av (6),Bx,2237,3568,3701,3744,3898,1730,"-2,168",-0.556,330
"Burke Av (2,5)",Bx,3644,3550,3466,3234,3250,1561,"-1,689",-0.52,344
Burnside Av (4),Bx,11551,11479,11079,10231,9964,4629,"-5,335",-0.535,131
Castle Hill Av (6),Bx,7174,6895,6756,6483,6435,3037,"-3,398",-0.528,215
Cypress Av (6),Bx,3974,4099,3972,3651,3462,1649,"-1,813",-0.524,338
East 143 St-St Mary's St (6),Bx,989,1043,953,1019,1085,567,-517,-0.477,415
East 149 St (6),Bx,4647,4861,4899,4842,4821,2515,"-2,306",-0.478,256
"East 180 St (2,5)",Bx,7587,7697,7691,7175,7089,3479,"-3,609",-0.509,182
Eastchester-Dyre Av (5),Bx,4845,4769,4647,4506,4672,2168,"-2,503",-0.536,293
Elder Av (6),Bx,6543,6642,6605,6323,6371,3278,"-3,093",-0.486,199
Fordham Rd (4),Bx,11982,11957,11503,10395,9796,4857,"-4,939",-0.504,123
"Fordham Rd (B,D)",Bx,12145,12208,12054,11361,11587,5349,"-6,238",-0.538,108
"Freeman St (2,5)",Bx,4899,5055,4984,4451,4387,2048,"-2,339",-0.533,301
"Gun Hill Rd (2,5)",Bx,7790,7714,7639,6930,7022,3214,"-3,808",-0.542,205
Gun Hill Rd (5),Bx,5880,5886,5654,5362,4287,1549,"-2,738",-0.639,347
Hunts Point Av (6),Bx,10484,10651,10646,10460,10510,5271,"-5,239",-0.499,109
"Intervale Av (2,5)",Bx,3472,3423,3377,3130,3140,1521,"-1,619",-0.516,350
"Jackson Av (2,5)",Bx,5705,5752,5766,5288,5167,2375,"-2,792",-0.54,271
Kingsbridge Rd (4),Bx,10107,9998,9783,8992,8849,4277,"-4,571",-0.517,148
"Kingsbridge Rd (B,D)",Bx,8006,8144,8237,7922,7957,3754,"-4,203",-0.528,177
Longwood Av (6),Bx,3482,3517,3518,3395,3168,1267,"-1,902",-0.6,377
Middletown Rd (6),Bx,2726,2066,2102,2036,2061,873,"-1,188",-0.576,404
Morris Park (5),Bx,2319,2487,2527,2417,2520,1104,"-1,416",-0.562,390
Morrison Av-Soundview (6),Bx,6628,6755,6742,6361,6341,3173,"-3,168",-0.5,207
Mosholu Pkwy (4),Bx,9252,9135,8770,8195,8074,4070,"-4,004",-0.496,158
Mt Eden Av (4),Bx,5817,5770,5512,5337,5009,2625,"-2,384",-0.476,244
"Nereid Av (2,5)",Bx,3817,3753,3631,3437,3394,1558,"-1,836",-0.541,345
Norwood-205 St (D),Bx,8640,8897,8751,8429,8544,4174,"-4,369",-0.511,155
Parkchester (6),Bx,16572,16561,16310,15660,15427,7028,"-8,399",-0.544,72
Pelham Bay Park (6),Bx,7432,7213,7185,7001,7020,3094,"-3,926",-0.559,211
"Pelham Pkwy (2,5)",Bx,9774,9441,9173,8472,8463,3915,"-4,547",-0.537,167
Pelham Pkwy (5),Bx,3303,3332,3237,3083,3225,1427,"-1,797",-0.557,363
"Prospect Av (2,5)",Bx,7908,8004,7704,7038,6936,3258,"-3,677",-0.53,200
"Simpson St (2,5)",Bx,9981,9680,9446,8477,8257,3914,"-4,343",-0.526,168
St Lawrence Av (6),Bx,4185,4187,4196,4040,4077,2002,"-2,075",-0.509,306
"Tremont Av (B,D)",Bx,9980,10246,10055,10398,9769,4543,"-5,226",-0.535,133
Van Cortlandt Park-242 St (1),Bx,7338,7431,7396,7742,7330,3215,"-4,115",-0.561,204
Wakefield-241 St (2),Bx,5186,5213,5129,4763,4538,2284,"-2,254",-0.497,277
"West Farms Sq-East Tremont Av (2,5)",Bx,8010,7848,7657,6866,6741,3006,"-3,735",-0.554,218
Westchester Sq-East Tremont Av (6),Bx,6912,6635,6479,6097,6113,2770,"-3,342",-0.547,231
Whitlock Av (6),Bx,1737,1830,1905,1894,1907,977,-930,-0.488,398
Woodlawn (4),Bx,7637,7623,7260,6937,6680,3031,"-3,648",-0.546,216
Zerega Av (6),Bx,1647,2629,2664,2629,2676,1188,"-1,489",-0.556,381
"15 St-Prospect Park (F,G)",B,6385,6342,6272,6136,6324,2133,"-4,190",-0.663,295
18 Av (D),B,6242,6413,6196,6136,6218,2703,"-3,515",-0.565,237
18 Av (F),B,4458,4440,4318,3947,3667,1750,"-1,917",-0.523,327
18 Av (N),B,5502,2266,3107,3097,3681,2089,"-1,593",-0.433,297
20 Av (D),B,5115,5268,5009,4905,5037,2216,"-2,821",-0.56,287
20 Av (N),B,4223,1348,2139,3514,3692,1551,"-2,142",-0.58,346
25 Av (D),B,4886,6507,5790,5083,4877,1940,"-2,937",-0.602,311
25 St (R),B,3847,3788,4547,3755,3738,1618,"-2,120",-0.567,340
"36 St (D,N,R)",B,12810,13180,13894,13493,13342,6008,"-7,334",-0.55,88
"4 Av (F,G)/9 St (R)",B,13126,13116,13962,12560,12563,4785,"-7,778",-0.619,125
45 St (R),B,7265,7055,7877,7205,7755,3371,"-4,384",-0.565,190
50 St (D),B,3220,3336,3236,3195,3246,1722,"-1,524",-0.469,331
53 St (R),B,7458,7386,3788,7565,8812,4286,"-4,526",-0.514,147
55 St (D),B,2002,2223,2106,2185,2141,1095,"-1,046",-0.488,391
"59 St (N,R)",B,13048,13144,16759,12301,11240,5158,"-6,082",-0.541,116
"7 Av (B,Q)",B,9641,9731,10270,10210,10209,3282,"-6,927",-0.679,197
"7 Av (F,G)",B,12049,11897,11801,11636,11880,4224,"-7,656",-0.644,152
71 St (D),B,4802,6501,5905,5607,5499,2280,"-3,219",-0.585,278
77 St (R),B,5608,5720,6746,5612,5595,2265,"-3,330",-0.595,282
79 St (D),B,6755,6973,6565,6177,6225,2605,"-3,620",-0.582,247
8 Av (N),B,11430,14201,12514,11474,11608,4296,"-7,312",-0.63,146
86 St (N),B,2718,1298,1534,1928,2224,1095,"-1,130",-0.508,392
86 St (R),B,11963,12078,11742,11338,11233,4890,"-6,343",-0.565,121
9 Av (D),B,5856,5867,5471,5344,5406,2522,"-2,884",-0.533,255
Alabama Av (J),B,2520,2585,2424,2147,2089,1068,"-1,020",-0.489,394
Atlantic Av (L),B,1384,1455,1821,1842,1593,772,-821,-0.515,408
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,42231,42711,42095,43211,43498,16599,"-26,899",-0.618,16
Avenue H (Q),B,2994,3183,3329,3418,3354,1282,"-2,072",-0.618,375
Avenue I (F),B,2235,1962,1111,1096,1988,922,"-1,065",-0.536,403
Avenue J (Q),B,6009,6136,6154,6058,5826,2565,"-3,261",-0.56,251
Avenue M (Q),B,5869,6052,6094,6001,5678,2503,"-3,176",-0.559,258
Avenue N (F),B,3410,3187,2217,2087,2961,1389,"-1,573",-0.531,365
Avenue P (F),B,2804,2688,1821,1710,2463,1165,"-1,298",-0.527,385
Avenue U (F),B,2439,2578,1276,1042,1838,863,-975,-0.531,405
Avenue U (N),B,3894,1399,2285,2627,3156,1530,"-1,627",-0.515,348
Avenue U (Q),B,6975,7384,7391,7323,7262,3077,"-4,185",-0.576,212
Avenue X (F),B,1928,2424,2508,2662,2530,1173,"-1,356",-0.536,383
Bay 50 St (D),B,2872,3176,2926,2674,2662,1117,"-1,546",-0.581,388
Bay Pkwy (D),B,7501,8069,7837,7719,7723,3419,"-4,304",-0.557,185
Bay Pkwy (F),B,1491,1329,729,623,1193,576,-617,-0.517,414
Bay Pkwy (N),B,7164,10955,9328,7261,6565,2881,"-3,684",-0.561,225
Bay Ridge Av (R),B,8379,8415,4173,7236,7677,3243,"-4,434",-0.578,203
Bay Ridge-95 St (R),B,6101,6090,5969,5812,5847,2418,"-3,429",-0.586,266
Bedford Av (L),B,27132,27486,27783,26603,25158,8679,"-16,478",-0.655,52
Bedford-Nostrand Avs (G),B,8197,8487,8741,8821,8866,3289,"-5,577",-0.629,195
"Bergen St (2,3)",B,3823,3884,3853,3653,3857,1326,"-2,531",-0.656,369
"Bergen St (F,G)",B,11548,11529,11306,11174,11310,3865,"-7,444",-0.658,173
Beverley Rd (Q),B,2894,3059,3267,3350,3410,1435,"-1,975",-0.579,360
"Beverly Rd (2,5)",B,4457,4464,4384,4255,4277,1947,"-2,330",-0.545,310
"Brighton Beach (B,Q)",B,12794,13035,12587,12065,11841,5192,"-6,648",-0.561,113
Broadway (G),B,4011,4340,4452,4467,4639,2210,"-2,428",-0.524,288
"Broadway Junction (A,C,J,L,Z)",B,9251,9189,8681,8142,7813,3787,"-4,026",-0.515,176
Bushwick Av-Aberdeen St (L),B,1874,2105,2112,2079,2015,948,"-1,067",-0.53,401
Canarsie-Rockaway Pkwy (L),B,13481,13131,12661,11947,11060,4376,"-6,685",-0.604,143
"Carroll St (F,G)",B,11923,11848,11723,11562,11814,4068,"-7,746",-0.656,159
Central Av (M),B,3715,3884,1929,2393,4473,1813,"-2,659",-0.595,321
"Chauncey St (J,Z)",B,3200,3360,3408,3387,3246,1436,"-1,810",-0.558,359
"Church Av (2,5)",B,9864,9808,9512,9193,9556,4270,"-5,286",-0.553,150
"Church Av (B,Q)",B,17811,17482,17186,16528,16251,7029,"-9,222",-0.567,70
"Church Av (F,G)",B,10490,10151,9697,9492,9395,4145,"-5,250",-0.559,156
"Clark St (2,3)",B,5922,5903,5635,5275,5590,1741,"-3,849",-0.689,329
Classon Av (G),B,4966,4996,5106,5301,5453,2070,"-3,383",-0.62,299
Cleveland St (J),B,3514,3483,3270,2975,2935,1381,"-1,555",-0.53,366
Clinton-Washington Avs (C),B,6603,6932,7130,7068,7139,2341,"-4,798",-0.672,274
Clinton-Washington Avs (G),B,5364,5312,5083,5025,5208,1810,"-3,398",-0.652,322
"Coney Island-Stillwell Av (D,F,N,Q)",B,14073,14098,13542,13203,12819,5496,"-7,323",-0.571,104
Cortelyou Rd (Q),B,6220,6332,6348,6276,6319,2624,"-3,695",-0.585,245
"Court St (R)/Borough Hall (2,3,4,5)",B,38559,38089,36762,35599,34939,11425,"-23,515",-0.673,31
"Crescent St (J,Z)",B,5073,5053,4842,4539,4463,2138,"-2,325",-0.521,294
"Crown Heights-Utica Av (3,4)",B,28146,29069,28980,25336,25331,11675,"-13,656",-0.539,29
Cypress Hills (J),B,1456,1501,1501,1457,1474,715,-759,-0.515,409
"DeKalb Av (B,Q,R)",B,17889,18774,21230,22069,22000,7782,"-14,218",-0.646,63
DeKalb Av (L),B,12158,12307,13050,12638,11214,5017,"-6,197",-0.553,120
Ditmas Av (F),B,3386,3524,3849,3904,3947,1900,"-2,047",-0.519,314
East 105 St (L),B,4002,4070,3999,3798,3367,1605,"-1,762",-0.523,341
"Eastern Pkwy-Brooklyn Museum (2,3)",B,4915,4719,4592,4637,4036,1292,"-2,744",-0.68,373
"Euclid Av (A,C)",B,11014,10870,10751,10191,10119,4771,"-5,347",-0.528,126
"Flatbush Av-Brooklyn College (2,5)",B,21666,21268,20691,19763,19572,7894,"-11,679",-0.597,60
Flushing Av (G),B,2819,2857,2866,2949,2466,1330,"-1,136",-0.461,368
"Flushing Av (J,M)",B,9483,9347,8952,8336,8623,3939,"-4,685",-0.543,165
Fort Hamilton Pkwy (D),B,4260,4420,4162,3936,3983,2008,"-1,975",-0.496,305
"Fort Hamilton Pkwy (F,G)",B,5783,6044,5893,5807,5877,2015,"-3,862",-0.657,304
Fort Hamilton Pkwy (N),B,6964,1771,3196,3232,4468,2469,"-1,999",-0.447,262
"Franklin Av (2,3,4,5)/Botanic Garden (S)",B,15866,15834,15269,14581,15412,5743,"-9,668",-0.627,96
"Franklin Av (C,S)",B,6468,6289,6333,6358,6234,2391,"-3,844",-0.616,268
Fulton St (G),B,4954,5096,5364,5462,5416,2235,"-3,181",-0.587,284
"Gates Av (J,Z)",B,6521,6602,7110,7255,7095,2951,"-4,144",-0.584,221
Graham Av (L),B,10504,10483,10536,9959,9346,3434,"-5,913",-0.633,183
"Grand Army Plaza (2,3)",B,7731,7735,7452,7188,7349,2504,"-4,844",-0.659,257
Grand St (L),B,7307,6977,7317,6964,6409,2708,"-3,701",-0.577,236
Grant Av (A),B,6696,7044,6318,5896,5710,2586,"-3,124",-0.547,249
Greenpoint Av (G),B,9191,9413,9648,9509,10006,4113,"-5,893",-0.589,157
Halsey St (J),B,6410,6490,6616,6579,6522,2645,"-3,877",-0.594,243
Halsey St (L),B,7932,8426,8781,8386,7391,3279,"-4,112",-0.556,198
"Hewes St (J,M)",B,2992,2866,2861,2782,3281,1401,"-1,880",-0.573,364
"High St (A,C)",B,8479,8701,9215,10281,10776,3136,"-7,640",-0.709,208
"Hoyt St (2,3)",B,7342,7615,7637,6938,7467,2765,"-4,702",-0.63,232
"Hoyt-Schermerhorn Sts (A,C,G)",B,9818,9894,10319,10540,11238,4401,"-6,837",-0.608,140
"Jay St-MetroTech (A,C,F,R)",B,43456,44267,43833,42274,41455,13385,"-28,070",-0.677,23
Jefferson St (L),B,7565,7639,7807,7674,7221,2879,"-4,341",-0.601,226
Junius St (3),B,3043,2230,970,2080,2216,1093,"-1,123",-0.507,393
"Kings Hwy (B,Q)",B,19500,20094,19975,19569,19745,8454,"-11,291",-0.572,55
Kings Hwy (F),B,3726,4637,5186,4567,3724,1708,"-2,015",-0.541,334
Kings Hwy (N),B,5482,1489,2891,3328,4363,2115,"-2,248",-0.515,296
Kingston Av (3),B,4999,4977,4703,4623,4697,1958,"-2,739",-0.583,309
Kingston-Throop Avs (C),B,6210,6350,6564,6585,6643,2473,"-4,169",-0.628,260
Knickerbocker Av (M),B,4104,4228,2077,2446,4522,1978,"-2,544",-0.563,308
Kosciuszko St (J),B,4927,5118,6143,6144,5562,2220,"-3,343",-0.601,286
Lafayette Av (C),B,4849,4888,4843,4889,4928,1860,"-3,068",-0.623,319
Liberty Av (C),B,2780,3020,2933,2754,2749,1238,"-1,511",-0.55,378
Livonia Av (L),B,3269,3418,3264,3209,2831,1467,"-1,364",-0.482,353
"Lorimer St (J,M)",B,5070,5138,5161,4837,5216,2170,"-3,046",-0.584,292
Lorimer St (L)/Metropolitan Av (G),B,15131,15082,14752,14299,13985,5150,"-8,836",-0.632,117
"Marcy Av (J,M,Z)",B,13276,13815,13377,13315,14255,5628,"-8,627",-0.605,99
Montrose Av (L),B,7025,7007,7021,6884,6515,2661,"-3,854",-0.592,240
Morgan Av (L),B,7221,7592,7769,7510,6944,2732,"-4,213",-0.607,235
"Myrtle Av (J,M,Z)",B,11424,11801,13222,12122,11970,4821,"-7,149",-0.597,124
Myrtle-Willoughby Avs (G),B,5783,5889,5743,5736,5919,2473,"-3,446",-0.582,261
"Myrtle-Wyckoff Avs (L,M)",B,19490,19673,22434,21241,18735,8404,"-10,331",-0.551,56
Nassau Av (G),B,9066,9150,9105,9312,9841,3691,"-6,150",-0.625,178
Neck Rd (Q),B,4207,4354,4441,4405,4401,1834,"-2,568",-0.583,320
Neptune Av (F),B,1807,1742,1658,1516,1456,652,-804,-0.552,413
"Nevins St (2,3,4,5)",B,10896,10716,10699,10426,10205,3824,"-6,381",-0.625,174
New Lots Av (3),B,7133,6855,6087,5573,5454,2554,"-2,900",-0.532,252
New Lots Av (L),B,5244,5431,5290,4869,4168,2020,"-2,148",-0.515,303
New Utrecht Av (N)/62 St (D),B,5551,5602,5217,4673,4736,2264,"-2,472",-0.522,283
"Newkirk Av (2,5)",B,8035,7840,7600,7312,7182,3286,"-3,896",-0.543,196
"Newkirk Plaza (B,Q)",B,10864,10842,10728,10534,10514,4380,"-6,134",-0.583,142
"Norwood Av (J,Z)",B,3639,3613,3437,3190,3156,1447,"-1,709",-0.541,356
Nostrand Av (3),B,4306,4239,4066,3907,4195,1568,"-2,627",-0.626,343
"Nostrand Av (A,C)",B,17790,18231,18035,17437,17352,6687,"-10,665",-0.615,77
Ocean Pkwy (Q),B,3203,3211,3251,3199,3242,1434,"-1,808",-0.558,361
Park Pl (S),B,1922,1850,1818,1725,1676,682,-994,-0.593,411
Parkside Av (Q),B,5266,5524,5898,6050,6173,2652,"-3,521",-0.57,242
Pennsylvania Av (3),B,6997,2485,3503,4331,4493,2087,"-2,406",-0.535,298
"President St (2,5)",B,4120,4114,4113,4019,3558,1444,"-2,114",-0.594,357
Prospect Av (R),B,5896,5842,3199,5523,5967,2222,"-3,746",-0.628,285
"Prospect Park (B,Q,S)",B,10033,9995,10234,10059,10152,3902,"-6,251",-0.616,170
Ralph Av (C),B,5796,5801,5936,5768,5730,2525,"-3,205",-0.559,254
Rockaway Av (3),B,1690,5122,5642,4747,4780,2294,"-2,486",-0.52,276
Rockaway Av (C),B,5443,5678,5715,5667,5653,2434,"-3,219",-0.569,265
Saratoga Av (3),B,8148,4006,5777,5246,5238,2547,"-2,691",-0.514,253
"Sheepshead Bay (B,Q)",B,14304,14477,14311,13946,13908,5830,"-8,078",-0.581,94
Shepherd Av (C),B,3370,3393,3337,3182,3153,1436,"-1,716",-0.544,358
"Smith-9 Sts (F,G)",B,5084,4861,4714,4689,4553,1921,"-2,632",-0.578,312
"Sterling St (2,5)",B,5802,5806,5795,5684,5468,2371,"-3,097",-0.566,272
Sutter Av (L),B,4727,4688,4471,4029,3446,1583,"-1,863",-0.541,342
