Date,Subway_Total,Percent_Subway_PrePandemic,Buses_Total,Percent_Buses_PrePandemic,LIRR_Total,Percent_LIRR_PrePandemic,MetroNorth_Total,Percent_MetroNorth_PrePandemic,AccessARide_Total,Percent_AccessARide_PrePandemic,Bridges_Tunnels_Total,Percent_Bridges_Tunnels_PrePandemic
2022-01-27,2717209,0.48,1165181,0.53,119000,0.41,95700,0.37,20934,0.66,869615,1.01
2022-01-26,2714757,0.48,1235204,0.55,118600,0.41,96300,0.37,21033,0.65,833936,0.96
2022-01-25,2706026,0.48,1292250,0.58,124500,0.43,98900,0.38,21233,0.67,817021,0.96
2022-01-24,2541525,0.48,1235718,0.59,127800,0.44,100500,0.38,19472,0.66,791390,0.94
2022-01-23,1246723,0.54,526781,0.53,48700,0.52,43600,0.54,9446,0.51,685007,0.90
2022-01-22,1585089,0.61,654310,0.64,59400,0.53,53700,0.56,10455,0.65,735629,0.99
2022-01-21,2570287,0.48,1149344,0.56,113500,0.38,91100,0.34,19079,0.63,864079,0.93
2022-01-20,2550406,0.47,1180555,0.55,112600,0.39,88200,0.34,18616,0.59,766608,0.86
2022-01-19,2647598,0.49,1285401,0.60,121200,0.42,96300,0.37,21111,0.65,829778,0.96
2022-01-18,2546357,0.48,1221640,0.59,125600,0.44,100400,0.39,19389,0.62,815605,0.94
2022-01-17,1602213,0.50,693892,0.53,98700,0.34,44100,0.17,8760,0.56,649397,0.82
2022-01-16,1166766,0.51,456257,0.48,43600,0.47,38000,0.47,8545,0.50,621361,0.88
2022-01-15,1436125,0.55,573037,0.57,53400,0.47,45300,0.47,9510,0.67,703293,1.09
2022-01-14,2527746,0.47,1186647,0.58,109200,0.36,88600,0.33,18878,0.62,866901,0.91
2022-01-13,2529329,0.46,1218552,0.57,112500,0.39,87700,0.34,19918,0.63,821641,0.91
2022-01-12,2464248,0.45,1179931,0.53,111000,0.39,86000,0.33,19679,0.59,784901,0.89
2022-01-11,2271033,0.42,1040581,0.48,104400,0.36,81400,0.31,17388,0.54,753381,0.88
2022-01-10,2352277,0.45,1147341,0.53,116500,0.40,90200,0.34,18268,0.61,762712,0.90
2022-01-09,1103682,0.48,475438,0.48,43400,0.46,35300,0.44,7916,0.41,567494,0.75
2022-01-08,1487737,0.50,631341,0.49,51700,0.46,46400,0.48,9126,0.50,641533,0.77
2022-01-07,2125569,0.39,880997,0.41,90200,0.30,73100,0.27,14203,0.46,559774,0.61
2022-01-06,2396085,0.44,1146904,0.54,103600,0.36,82600,0.32,18672,0.59,780026,0.88
2022-01-05,2272601,0.42,1078511,0.50,98300,0.34,77600,0.30,18861,0.59,709060,0.83
2022-01-04,2294147,0.42,1082360,0.50,104200,0.36,82000,0.32,17909,0.57,733369,0.87
2022-01-03,2172744,0.41,1000002,0.48,103000,0.35,84000,0.32,16437,0.55,692740,0.83
2022-01-02,1221306,0.54,475096,0.50,49200,0.53,42600,0.53,8383,0.45,624655,0.89
2022-01-01,1029180,0.45,350845,0.46,34000,0.30,30300,0.31,4904,0.58,498515,0.75
2021-12-31,1629859,0.52,699749,0.58,96700,0.32,85200,0.32,11498,0.76,628305,0.74
2021-12-30,2202359,0.51,928012,0.60,110100,0.38,90800,0.35,16177,0.66,804654,0.99
2021-12-29,2171073,0.50,921562,0.60,105900,0.37,92600,0.36,16859,0.69,768653,0.94
2021-12-28,2172791,0.50,953933,0.62,109900,0.38,89700,0.35,16736,0.68,764364,0.94
2021-12-27,2011675,0.47,890096,0.58,108500,0.37,89400,0.34,14952,0.61,744547,0.91
2021-12-26,1286484,0.51,518897,0.55,56500,0.60,51500,0.64,8744,0.49,673477,0.86
2021-12-25,811945,0.47,329549,0.49,39500,0.35,31600,0.33,9021,0.61,582582,0.76
2021-12-24,1577738,0.43,746809,0.49,97400,0.33,81100,0.30,12009,0.54,738612,0.82
2021-12-23,2491489,0.53,1166953,0.64,118400,0.41,97200,0.37,19335,0.72,899513,0.97
2021-12-22,2640159,0.56,1252621,0.68,117700,0.41,92900,0.36,21673,0.80,878197,0.95
2021-12-21,2703097,0.57,1299476,0.71,124400,0.43,97100,0.37,21656,0.80,866595,0.94
2021-12-20,2722430,0.57,1277654,0.70,132100,0.45,102700,0.39,20318,0.75,856849,0.93
2021-12-19,1581503,0.59,636393,0.61,65700,0.70,56300,0.70,12238,0.62,784051,0.94
2021-12-18,1882956,0.59,786073,0.62,74300,0.66,66100,0.69,12312,0.71,832994,0.92
2021-12-17,3118492,0.55,1375383,0.66,146100,0.49,121000,0.45,22539,0.72,968689,0.98
2021-12-16,3226842,0.56,1438193,0.70,152700,0.53,126100,0.48,23623,0.74,948535,0.97
2021-12-15,3249076,0.55,1436154,0.65,153100,0.53,129800,0.50,23732,0.71,921048,0.98
2021-12-14,3281294,0.58,1378221,0.67,154900,0.54,131800,0.51,23043,0.73,894669,1.03
2021-12-13,3127619,0.55,1333718,0.61,153400,0.53,129700,0.49,21617,0.72,874293,0.96
2021-12-12,1831705,0.65,627007,0.60,80900,0.87,66500,0.83,12189,0.62,828121,0.99
2021-12-11,2268556,0.66,786137,0.61,91900,0.81,81100,0.84,13396,0.75,863814,0.98
2021-12-10,3423782,0.58,1404176,0.67,152500,0.51,127700,0.48,22237,0.73,962125,0.98
2021-12-09,3440822,0.57,1436883,0.64,154400,0.54,126200,0.48,22743,0.70,927903,0.95
2021-12-08,3385675,0.57,1430106,0.65,156200,0.55,130200,0.50,22691,0.73,889409,1.01
2021-12-07,3375157,0.57,1453136,0.65,153700,0.53,131000,0.50,23262,0.71,883027,0.97
2021-12-06,3142556,0.56,1394230,0.68,155000,0.53,127300,0.48,21761,0.73,865595,0.99
2021-12-05,1737545,0.65,665129,0.64,72700,0.78,60500,0.75,12541,0.64,818544,0.99
2021-12-04,2318203,0.66,864764,0.66,91500,0.81,81400,0.84,13317,0.72,864918,0.97
2021-12-03,3380539,0.57,1419078,0.65,144500,0.48,119400,0.44,22518,0.73,940827,0.96
2021-12-02,3366133,0.56,1449142,0.64,154700,0.54,127500,0.49,22540,0.69,923179,0.96
2021-12-01,3333735,0.56,1463384,0.64,163200,0.57,136100,0.53,23347,0.69,899319,0.97
2021-11-30,3214333,0.55,1432539,0.64,166700,0.58,136600,0.53,22469,0.74,897216,1.00
2021-11-29,3002707,0.57,1381661,0.70,166200,0.57,132500,0.50,21124,0.81,900399,1.18
2021-11-28,1467414,0.72,592081,0.72,75200,0.80,65100,0.81,10481,0.70,825585,1.14
2021-11-27,1882638,0.68,750986,0.61,83700,0.74,76100,0.79,10620,0.74,850980,0.94
2021-11-26,2092977,0.60,843588,0.60,128500,0.43,108700,0.40,11077,0.74,789915,0.98
2021-11-25,1359188,0.64,509782,0.62,125400,0.44,69900,0.27,15459,0.72,861084,0.95
2021-11-24,3091878,0.59,1343391,0.63,165300,0.58,139400,0.54,21002,0.76,992568,1.01
2021-11-23,3293785,0.56,1424890,0.62,162200,0.56,136600,0.53,22574,0.71,989345,0.99
2021-11-22,3137259,0.55,1418226,0.62,156900,0.54,127800,0.48,21441,0.72,901942,1.00
2021-11-21,1676033,0.74,674551,0.72,80500,0.86,66900,0.83,TBD,TBD,841901,1.12
2021-11-20,2138098,0.67,861772,0.64,94400,0.84,82900,0.86,TBD,TBD,915131,1.02
2021-11-19,3323841,0.57,1429787,0.65,151800,0.51,127100,0.47,22662,0.75,987149,1.01
2021-11-18,3419760,0.57,1505488,0.65,157400,0.55,132600,0.51,24071,0.74,959226,1.00
2021-11-17,3376522,0.57,1501740,0.65,158400,0.55,131100,0.51,24396,0.73,915266,0.99
2021-11-16,3348316,0.57,1492110,0.64,161400,0.56,137200,0.53,23694,0.73,902386,0.99
2021-11-15,3117761,0.56,1437414,0.66,161000,0.55,132200,0.50,22208,0.75,890524,1.01
2021-11-14,1704908,0.70,657129,0.65,72500,0.78,62900,0.78,12460,0.66,858311,1.05
2021-11-13,2172149,0.67,815114,0.62,80800,0.72,74300,0.77,13124,0.75,869112,0.96
2021-11-12,3164764,0.54,1350608,0.61,141700,0.47,117700,0.44,21598,0.69,919941,0.93
2021-11-11,2927728,0.61,1198235,0.66,143400,0.50,122900,0.47,19846,0.90,895643,1.05
2021-11-10,3359437,0.58,1514453,0.69,159300,0.56,134400,0.52,24608,0.76,926005,1.01
2021-11-09,3287134,0.57,1518264,0.69,157200,0.54,134100,0.52,24504,0.78,898518,1.01
2021-11-08,3072454,0.53,1461178,0.63,159700,0.55,131100,0.49,22136,0.74,889544,0.97
2021-11-07,1891963,0.66,614513,0.62,81200,0.87,72200,0.90,10647,0.63,780686,1.01
2021-11-06,2198274,0.68,864499,0.66,84900,0.75,80800,0.84,13672,0.77,910587,1.00
2021-11-05,3300207,0.56,1457014,0.67,150200,0.50,121800,0.45,23009,0.78,966007,0.99
2021-11-04,3291525,0.55,1486942,0.64,151400,0.53,126500,0.49,24009,0.75,931012,0.98
2021-11-03,3301103,0.55,1507287,0.63,154200,0.54,131000,0.51,23349,0.70,901230,0.96
2021-11-02,2853901,0.52,1258180,0.60,147800,0.51,129300,0.50,22016,0.72,853432,0.96
2021-11-01,3041089,0.52,1448304,0.63,158400,0.54,131300,0.49,21387,0.71,898451,0.98
2021-10-31,1748679,0.70,656203,0.62,68700,0.73,66300,0.82,12233,0.63,824978,0.96
2021-10-30,2046487,0.61,819620,0.59,76500,0.68,69300,0.72,12642,0.69,854656,0.92
2021-10-29,3258376,0.55,1426938,0.63,153300,0.51,122600,0.46,22477,0.74,963442,0.97
2021-10-28,3373576,0.58,1515489,0.70,159600,0.55,132200,0.51,24814,0.86,959835,1.08
2021-10-27,3307634,0.55,1503535,0.64,155900,0.54,129900,0.50,24144,0.75,914494,0.99
2021-10-26,2707913,0.45,1233660,0.53,130100,0.45,104500,0.40,21220,0.68,738636,0.81
2021-10-25,3001962,0.52,1461023,0.63,158300,0.54,125800,0.47,21724,0.75,883887,0.97
2021-10-24,1601835,0.73,659283,0.76,69600,0.74,68200,0.85,12314,0.72,883371,1.14
2021-10-23,2079731,0.62,847596,0.61,74700,0.66,82900,0.86,13556,0.76,914737,0.96
2021-10-22,3232113,0.55,1471199,0.64,145800,0.49,126600,0.47,22843,0.76,986548,0.98
2021-10-21,3275195,0.54,1476434,0.62,149900,0.52,127300,0.49,24007,0.75,948652,0.96
2021-10-20,3241475,0.54,1525608,0.64,155200,0.54,131100,0.51,24474,0.75,916246,0.97
2021-10-19,3185458,0.55,1510722,0.67,153400,0.53,130000,0.50,23403,0.78,899389,1.03
2021-10-18,2989693,0.53,1461843,0.64,153700,0.53,127400,0.48,21454,0.78,889996,1.02
2021-10-17,1631844,0.67,663944,0.68,74800,0.80,69700,0.87,12564,0.67,891527,1.07
2021-10-16,2044396,0.61,856990,0.62,83400,0.74,74900,0.78,13307,0.75,896392,0.94
2021-10-15,3233854,0.54,1491099,0.65,150900,0.50,124700,0.46,23251,0.77,990940,0.96
2021-10-14,3248072,0.53,1527543,0.66,154600,0.54,126800,0.49,24144,0.77,952876,0.98
2021-10-13,3164655,0.54,1511356,0.69,151300,0.53,124800,0.48,24396,0.78,907632,1.00
2021-10-12,3110171,0.53,1514608,0.64,154600,0.54,128200,0.49,23848,0.79,910639,1.00
2021-10-11,2267498,0.53,1045865,0.64,131700,0.45,114500,0.43,16917,0.89,878443,1.03
2021-10-10,1499551,0.56,601821,0.56,65600,0.70,59000,0.73,11794,0.64,806025,0.90
2021-10-09,2052746,0.63,856308,0.62,84600,0.75,82000,0.85,13634,0.78,919384,0.98
2021-10-08,3175133,0.54,1473912,0.65,153800,0.51,123600,0.46,23356,0.78,1001210,0.97
2021-10-07,3198045,0.53,1523168,0.64,150100,0.52,121400,0.47,24571,0.78,951212,0.98
2021-10-06,3147958,0.53,1532668,0.63,149600,0.52,123100,0.48,24678,0.80,913993,0.99
2021-10-05,3098187,0.54,1499767,0.65,150200,0.52,124700,0.48,23644,0.78,887129,1.01
2021-10-04,2870940,0.50,1419155,0.60,152600,0.53,121300,0.46,21794,0.75,871945,0.96
2021-10-03,1577642,0.63,673253,0.63,74900,0.80,66800,0.83,12936,0.67,887540,1.02
2021-10-02,2066222,0.62,883902,0.63,86600,0.77,80900,0.84,14145,0.80,923455,0.99
2021-10-01,3169206,0.53,1492942,0.64,140000,0.47,116200,0.43,23098,0.77,985786,0.98
2021-09-30,3153965,0.52,1516081,0.66,144800,0.50,121800,0.47,23555,0.75,953501,1.02
2021-09-29,3070509,0.52,1513184,0.63,137500,0.48,120000,0.46,23323,0.75,886785,0.96
2021-09-28,2934542,0.49,1457421,0.61,141200,0.49,118300,0.45,21727,0.72,831192,0.90
2021-09-27,2880083,0.50,1489441,0.64,146200,0.50,121500,0.46,21209,0.76,881116,0.95
2021-09-26,1616915,0.64,657257,0.60,80100,0.86,64900,0.81,12034,0.64,895286,0.98
2021-09-25,2132211,0.66,872490,0.63,88500,0.78,81300,0.84,13909,0.82,953628,0.98
2021-09-24,3128041,0.53,1469705,0.64,142800,0.48,116700,0.43,21941,0.77,986694,0.97
2021-09-23,3022830,0.50,1483075,0.63,140100,0.49,115500,0.44,23031,0.75,915198,0.94
2021-09-22,3027925,0.50,1506211,0.63,139900,0.49,120100,0.46,23157,0.73,872883,0.92
2021-09-21,3025310,0.50,1505803,0.63,142700,0.49,123900,0.48,22399,0.75,860050,0.93
2021-09-20,2889759,0.50,1481676,0.63,148100,0.51,122100,0.46,21889,0.78,895109,0.97
2021-09-19,1598720,0.61,674024,0.60,69400,0.74,64100,0.80,12612,0.67,914623,0.98
2021-09-18,2017430,0.61,871175,0.61,77300,0.69,76300,0.79,14054,0.80,949178,0.98
2021-09-17,3034676,0.51,1456201,0.63,142100,0.47,119300,0.44,23282,0.81,982085,0.97
2021-09-16,2539853,0.42,1210069,0.50,128000,0.44,107700,0.41,20826,0.67,864413,0.88
2021-09-15,2993744,0.50,1503627,0.62,139900,0.49,116400,0.45,23966,0.75,904733,0.96
2021-09-14,3017947,0.51,1511145,0.62,144900,0.50,120500,0.46,23132,0.75,908024,0.98
2021-09-13,2858929,0.50,1441516,0.61,147800,0.51,122500,0.46,21898,0.78,914827,0.99
2021-09-12,1591655,0.62,694561,0.63,77000,0.82,59000,0.73,12239,0.66,899864,0.98
2021-09-11,1985273,0.63,870791,0.63,82200,0.73,65300,0.68,13070,0.77,917704,0.98
2021-09-10,2845820,0.48,1322430,0.56,150900,0.50,113500,0.42,23037,0.78,995486,0.98
2021-09-09,2708091,0.46,1249341,0.52,139500,0.48,111700,0.43,23653,0.76,911040,0.94
2021-09-08,2534847,0.46,1192895,0.55,135700,0.47,110900,0.43,22354,0.73,896020,0.96
2021-09-07,2238469,0.42,1102372,0.52,137600,0.48,113700,0.44,21143,0.74,902400,0.95
2021-09-06,1523354,0.68,733947,0.77,77900,0.83,51300,0.19,10077,1.06,812884,1.10
2021-09-05,1416893,0.57,618622,0.57,71000,0.76,45200,0.56,11931,0.64,832200,0.93
2021-09-04,1779743,0.61,834456,0.62,84800,0.75,57100,0.59,13382,0.82,927358,0.99
2021-09-03,2394842,0.49,1221668,0.61,139800,0.47,97900,0.36,22585,0.85,1014806,0.98
2021-09-02,1664178,0.32,1188941,0.57,105600,0.37,N/A,N/A,21179,0.76,851145,0.83
2021-09-01,2298999,0.44,1086148,0.54,118400,0.41,90600,0.35,20878,0.72,811053,0.86
2021-08-31,2537974,0.49,1246463,0.61,133600,0.46,99900,0.38,22724,0.81,936181,1.00
2021-08-30,2325695,0.48,1182908,0.61,131600,0.45,97100,0.37,19224,0.76,911105,0.98
2021-08-29,1400642,0.56,630281,0.58,68800,0.74,54100,0.67,11558,0.62,890505,0.99
2021-08-28,1661095,0.57,776489,0.58,69000,0.61,56200,0.58,12760,0.78,890293,0.95
2021-08-27,2392602,0.49,1147249,0.57,119700,0.40,90500,0.34,21211,0.79,973335,0.94
2021-08-26,2485132,0.47,1222996,0.59,122100,0.42,91000,0.35,22068,0.79,950534,0.93
2021-08-25,2503420,0.48,1236342,0.61,127400,0.44,93300,0.36,23351,0.80,957036,1.01
2021-08-24,2467406,0.47,1234884,0.60,130600,0.45,98300,0.38,22679,0.80,942935,1.00
2021-08-23,2056731,0.42,1032792,0.53,110000,0.38,84200,0.32,18809,0.74,821654,0.89
2021-08-22,745800,0.32,369246,0.34,27500,0.29,16100,0.20,7979,0.45,489334,0.53
2021-08-21,1716439,0.59,822340,0.60,72800,0.65,62000,0.64,13046,0.79,941331,0.96
2021-08-20,2460924,0.50,1183308,0.62,124600,0.42,99500,0.37,21451,0.79,969814,0.96
2021-08-19,2444495,0.48,1194375,0.60,117400,0.41,93000,0.36,21838,0.77,939085,0.94
2021-08-18,2450516,0.48,1210760,0.61,117200,0.41,97900,0.38,22715,0.78,917872,0.96
2021-08-17,2432692,0.48,1209633,0.60,120700,0.42,103600,0.40,22245,0.79,909180,0.96
2021-08-16,2292396,0.48,1170216,0.61,123900,0.43,100300,0.38,20087,0.77,910779,0.97
2021-08-15,1430620,0.63,661705,0.61,73000,0.78,54400,0.68,12395,0.69,918288,1.01
2021-08-14,1718222,0.60,811826,0.59,75700,0.67,57700,0.60,13157,0.79,904780,0.96
2021-08-13,2434624,0.49,1189426,0.60,123800,0.41,91900,0.34,21336,0.79,973883,0.97
2021-08-12,2453353,0.46,1223666,0.60,119700,0.42,90800,0.35,22427,0.78,965578,0.97
2021-08-11,2480877,0.47,1246306,0.62,119700,0.42,94700,0.37,23338,0.78,931264,0.98
2021-08-10,2447231,0.48,1245670,0.63,122500,0.42,95300,0.37,23079,0.82,905508,1.00
2021-08-09,2294279,0.46,1183050,0.60,109900,0.38,95600,0.36,20540,0.78,891525,0.94
2021-08-08,1333885,0.54,598574,0.54,61100,0.65,54300,0.68,11934,0.67,843489,0.92
2021-08-07,1780458,0.59,836715,0.61,76800,0.68,67300,0.70,14108,0.83,923751,0.94
2021-08-06,2523944,0.49,1222343,0.61,123200,0.41,101200,0.38,22179,0.81,979833,0.96
2021-08-05,2534287,0.47,1259332,0.60,120000,0.42,98300,0.38,22610,0.78,956306,0.96
2021-08-04,2534018,0.48,1257876,0.63,123700,0.43,99300,0.38,23611,0.80,921068,1.01
2021-08-03,2489064,0.47,1262043,0.60,123900,0.43,103200,0.40,22828,0.78,904753,0.97
2021-08-02,2338722,0.46,1208484,0.59,126200,0.43,102300,0.38,19824,0.74,903514,0.96
2021-08-01,1351294,0.55,629963,0.56,66000,0.71,52000,0.65,11627,0.63,869092,0.94
2021-07-31,1841007,0.61,857333,0.61,85400,0.76,67100,0.70,13932,0.84,953445,1.02
2021-07-30,2562489,0.49,1235623,0.60,131900,0.44,103500,0.39,22127,0.81,988596,0.97
2021-07-29,2433507,0.45,1186642,0.55,120300,0.42,94700,0.36,22164,0.77,918380,0.91
2021-07-28,2539760,0.47,1276296,0.62,126800,0.44,100000,0.39,23145,0.79,932094,0.99
2021-07-27,2493079,0.46,1267804,0.60,128300,0.44,103000,0.40,22609,0.78,918908,0.97
2021-07-26,2323169,0.45,1219135,0.59,129900,0.45,101300,0.38,19910,0.75,907205,0.96
2021-07-25,1364830,0.56,625645,0.56,66400,0.71,53100,0.66,11419,0.63,864361,0.91
2021-07-24,1852402,0.61,856250,0.61,84900,0.75,68600,0.71,14042,0.83,950568,0.97
2021-07-23,2557043,0.48,1219255,0.60,130500,0.44,101100,0.38,22314,0.81,985198,0.95
2021-07-22,2587338,0.47,1279778,0.60,127300,0.44,102300,0.39,23122,0.79,963493,0.95
2021-07-21,2509502,0.45,1225595,0.56,121500,0.42,104900,0.41,22865,0.75,914902,0.93
2021-07-20,2467017,0.47,1217802,0.60,125800,0.44,107000,0.41,22213,0.77,924495,1.01
2021-07-19,2332473,0.46,1208792,0.61,126700,0.44,103400,0.39,20276,0.77,897298,0.98
2021-07-18,1405344,0.65,640618,0.62,67400,0.72,56200,0.70,11313,0.73,838604,0.96
2021-07-17,1717480,0.65,795347,0.63,73000,0.65,64500,0.67,13228,0.88,897001,0.97
2021-07-16,2541195,0.49,1219118,0.59,123500,0.41,104300,0.39,21730,0.81,983846,0.96
2021-07-15,2586791,0.48,1275846,0.62,125600,0.44,105200,0.40,23772,0.82,971048,0.99
2021-07-14,2522633,0.46,1260044,0.60,120500,0.42,101800,0.39,23662,0.78,919213,0.97
2021-07-13,2462643,0.44,1239045,0.57,123400,0.43,105300,0.41,22286,0.74,895705,0.94
2021-07-12,2249975,0.43,1171521,0.56,120500,0.41,99000,0.37,20623,0.76,866231,0.91
2021-07-11,1367403,0.56,635511,0.56,62600,0.67,53200,0.66,11725,0.65,830775,0.88
2021-07-10,1783921,0.59,855908,0.59,73000,0.65,64400,0.67,14518,0.85,925950,0.93
2021-07-09,2322712,0.43,1115969,0.55,109400,0.37,88300,0.33,20632,0.74,888932,0.87
2021-07-08,2369035,0.43,1164513,0.56,116300,0.40,93200,0.36,22941,0.77,897858,0.93
2021-07-07,2442092,0.44,1234617,0.57,122600,0.43,99100,0.38,23637,0.79,926634,0.97
2021-07-06,2306692,0.42,1181416,0.54,127900,0.44,100500,0.39,22648,0.76,903777,0.95
2021-07-05,1497714,0.65,770321,0.70,78400,0.84,59700,0.22,10303,0.57,838087,0.91
2021-07-04,1470325,0.54,615001,0.55,70200,0.75,63900,0.80,12816,0.98,773629,0.88
2021-07-03,1543756,0.60,738089,0.58,63800,0.57,57400,0.59,12676,0.87,777262,0.98
2021-07-02,2300302,0.59,1121116,0.64,116500,0.39,94300,0.35,21489,0.97,920188,1.08
2021-07-01,2297059,0.42,1104516,0.53,114400,0.40,90000,0.35,22011,0.74,933638,1.21
2021-06-30,2350864,0.45,1139886,0.55,119400,0.42,99500,0.38,23001,0.77,945822,0.94
2021-06-29,2348456,0.44,1169268,0.56,119400,0.41,97800,0.38,21612,0.73,930011,0.98
2021-06-28,2256926,0.43,1152019,0.56,122300,0.42,101500,0.38,20503,0.77,924740,0.97
2021-06-27,1561403,0.52,656004,0.60,75100,0.80,62400,0.78,11883,0.70,900039,0.97
2021-06-26,1855861,0.58,841585,0.63,76600,0.68,66700,0.69,13520,0.84,950086,0.98
2021-06-25,2587425,0.47,1214123,0.61,126700,0.42,100500,0.37,22400,0.80,988675,0.95
2021-06-24,2557684,0.45,1248843,0.60,121500,0.42,100500,0.39,22842,0.77,978351,0.94
2021-06-23,2552443,0.44,1264095,0.56,121900,0.43,101900,0.39,24223,0.79,946870,0.93
2021-06-22,2359521,0.43,1172110,0.56,116200,0.40,97600,0.38,22293,0.75,896868,0.94
2021-06-21,2268969,0.42,1191844,0.56,123900,0.43,95700,0.36,20512,0.76,926300,0.95
2021-06-20,1389352,0.53,652557,0.58,77000,0.82,60900,0.76,13189,0.71,951631,0.98
2021-06-19,1784312,0.54,841519,0.60,76500,0.68,66100,0.69,13949,0.80,952944,0.95
2021-06-18,2576562,0.46,1235675,0.66,122800,0.41,104300,0.39,22491,0.79,989296,0.96
