Date,Subway_Total,Percent_Subway_PrePandemic,Buses_Total,Percent_Buses_PrePandemic,LIRR_Total,Percent_LIRR_PrePandemic,MetroNorth_Total,Percent_MetroNorth_PrePandemic,AccessARide_Total,Percent_AccessARide_PrePandemic,Bridges_Tunnels_Total,Percent_Bridges_Tunnels_PrePandemic
2021-06-17,2557486,0.45,1281552,0.63,121600,0.42,98400,0.38,23292,0.78,973485,0.97
2021-06-16,2524189,0.44,1288040,0.59,119200,0.42,94700,0.37,24788,0.79,945955,0.98
2021-06-15,2474710,0.44,1277203,0.61,117600,0.41,96700,0.37,23460,0.78,917933,0.99
2021-06-14,2227391,0.41,1176722,0.54,115300,0.40,91100,0.34,21568,0.79,869235,0.92
2021-06-13,1379959,0.59,647385,0.62,59200,0.63,51700,0.64,12047,0.65,887098,0.95
2021-06-12,1775538,0.56,849178,0.60,68200,0.60,61500,0.64,14450,0.81,919318,0.91
2021-06-11,2472629,0.43,1221484,0.55,118300,0.39,94600,0.35,23324,0.81,968763,0.93
2021-06-10,2478619,0.43,1276901,0.59,113200,0.39,91300,0.35,23498,0.80,951274,0.98
2021-06-09,2390612,0.41,1259005,0.54,107900,0.38,90600,0.35,23868,0.75,908563,0.93
2021-06-08,2270152,0.39,1175335,0.53,108300,0.38,88000,0.34,22948,0.78,878376,0.92
2021-06-07,2227613,0.42,1200737,0.59,112100,0.39,89400,0.34,21511,0.83,897208,1.02
2021-06-06,1363344,0.53,654780,0.60,61900,0.66,51500,0.64,12514,0.70,921829,1.03
2021-06-05,1792204,0.55,874545,0.62,72800,0.65,62700,0.65,14636,0.82,946758,0.98
2021-06-04,2314340,0.41,1160335,0.52,104600,0.35,88900,0.33,22743,0.79,930743,0.90
2021-06-03,2238336,0.39,1143159,0.53,102800,0.36,84800,0.33,23026,0.77,895524,0.89
2021-06-02,2348517,0.41,1249102,0.55,112500,0.39,90800,0.35,24325,0.79,910385,0.94
2021-06-01,2263536,0.41,1230127,0.58,114800,0.40,94900,0.37,22308,0.75,907698,0.95
2021-05-31,1391302,0.53,702801,0.61,102300,0.32,63000,0.22,10380,0.96,756187,0.79
2021-05-30,1066132,0.42,484864,0.45,43400,0.45,47200,0.45,10028,0.56,664029,0.74
2021-05-29,1371467,0.43,648192,0.46,54800,0.46,71700,0.48,11734,0.68,744860,0.77
2021-05-28,2236646,0.39,1135369,0.51,112800,0.35,89300,0.31,21520,0.77,931760,0.89
2021-05-27,2356638,0.41,1246269,0.57,117300,0.37,90600,0.32,23450,0.82,970920,1.00
2021-05-26,2280311,0.40,1241052,0.56,114500,0.36,86700,0.30,23594,0.80,921084,0.97
2021-05-25,2275628,0.42,1253998,0.58,110900,0.35,85900,0.30,22854,0.81,902577,0.98
2021-05-24,2123129,0.38,1192453,0.54,105500,0.33,80800,0.28,21563,0.76,869940,1.11
2021-05-23,1270286,0.50,645466,0.61,58000,0.59,63700,0.61,11765,0.64,885740,1.01
2021-05-22,1647055,0.55,839877,0.63,66300,0.56,94500,0.63,13397,0.85,911148,1.01
2021-05-21,2336140,0.43,1221591,0.56,110100,0.34,90900,0.32,22520,0.81,965528,0.92
2021-05-20,2273912,0.40,1243965,0.57,106600,0.33,82700,0.29,23659,0.80,931659,0.92
2021-05-19,2261916,0.38,1253578,0.54,104800,0.33,82700,0.29,23784,0.76,915644,0.92
2021-05-18,2154370,0.37,1215676,0.52,100400,0.31,80300,0.28,22367,0.74,838307,0.87
2021-05-17,2026574,0.36,1157960,0.51,98500,0.31,77300,0.27,20779,0.75,810018,0.84
2021-05-16,1201918,0.46,621750,0.56,49200,0.50,56800,0.55,11062,0.59,814177,0.86
2021-05-15,1637242,0.48,844096,0.59,63100,0.53,91100,0.60,13516,0.77,891574,0.90
2021-05-14,2270937,0.40,1220112,0.55,104900,0.33,85700,0.30,22437,0.79,947064,0.90
2021-05-13,2167164,0.37,1182347,0.51,103000,0.32,80000,0.28,23439,0.78,918259,0.90
2021-05-12,2186470,0.37,1238990,0.53,98900,0.31,77900,0.27,23946,0.75,887381,0.91
2021-05-11,2152549,0.37,1231886,0.53,97400,0.30,75400,0.26,22751,0.77,873176,0.93
2021-05-10,1993889,0.37,1149109,0.54,96800,0.30,73300,0.26,20751,0.79,844563,0.93
2021-05-09,1108734,0.54,576000,0.69,54100,0.55,59300,0.57,13897,0.71,854809,1.00
2021-05-08,1444674,0.45,779188,0.54,56300,0.48,78700,0.52,13339,0.74,854156,0.86
2021-05-07,2241860,0.40,1222741,0.54,101600,0.32,83100,0.29,22730,0.80,936747,0.92
2021-05-06,2204111,0.37,1258536,0.53,94200,0.30,76000,0.27,23792,0.77,905604,0.92
2021-05-05,2078394,0.35,1158445,0.48,92000,0.29,70300,0.25,23236,0.73,841968,0.88
2021-05-04,2124252,0.37,1227250,0.52,93100,0.29,72300,0.25,22962,0.74,851039,0.91
2021-05-03,1974754,0.35,1165505,0.51,91100,0.29,67100,0.23,21492,0.76,828506,0.89
2021-05-02,1153471,0.50,620063,0.74,41800,0.43,51300,0.49,11541,0.66,809865,1.02
2021-05-01,1515211,0.47,818655,0.59,51100,0.43,76300,0.51,13263,0.75,849633,0.91
2021-04-30,2163175,0.38,1185321,0.53,93500,0.30,77700,0.27,22322,0.78,922720,0.91
2021-04-29,2032405,0.35,1166096,0.50,88700,0.29,69000,0.24,22201,0.75,873037,0.89
2021-04-28,2139820,0.37,1227777,0.52,92100,0.30,72900,0.25,24411,0.79,888723,0.93
2021-04-27,2045718,0.36,1198299,0.52,89000,0.29,69300,0.24,22603,0.76,839788,0.90
2021-04-26,1959131,0.35,1156913,0.52,89300,0.29,68600,0.24,21083,0.77,826605,0.91
2021-04-25,985027,0.41,540989,0.55,34100,0.37,37100,0.36,9777,0.56,695863,0.83
2021-04-24,1520057,0.47,809163,0.61,51600,0.45,78900,0.53,13351,0.81,854964,0.93
2021-04-23,2125087,0.42,1184193,0.68,92800,0.30,76100,0.27,22035,0.87,920588,1.02
2021-04-22,2044069,0.37,1166357,0.59,86600,0.28,67600,0.24,21832,0.78,871573,0.93
2021-04-21,1969710,0.36,1139762,0.57,83500,0.27,66000,0.23,22379,0.76,828447,0.88
2021-04-20,2086630,0.38,1223642,0.60,90000,0.29,72000,0.25,23528,0.85,860511,0.92
2021-04-19,1914960,0.39,1147977,0.63,87200,0.28,67400,0.23,21274,0.89,816540,0.89
2021-04-18,1082503,0.44,607333,0.61,38300,0.42,48200,0.47,10865,0.58,753446,0.86
2021-04-17,1425036,0.43,803352,0.57,49900,0.44,72600,0.49,13313,0.75,813162,0.96
2021-04-16,2082447,0.36,1157507,0.52,87200,0.28,73600,0.26,21632,0.74,889711,0.92
2021-04-15,1910326,0.32,1083083,0.48,81800,0.26,63800,0.22,21198,0.72,822207,0.82
2021-04-14,2021936,0.34,1199954,0.51,86700,0.28,69900,0.24,23462,0.75,852606,0.88
2021-04-13,2016030,0.34,1196355,0.51,87200,0.28,67600,0.24,22728,0.76,832482,0.88
2021-04-12,1849254,0.33,1087799,0.50,83100,0.27,63900,0.22,21192,0.76,793402,0.87
2021-04-11,900666,0.36,504407,0.51,32000,0.35,35600,0.35,9742,0.52,666435,0.78
2021-04-10,1392745,0.42,790023,0.56,46000,0.40,66800,0.45,12713,0.72,822112,0.87
2021-04-09,2030410,0.36,1144311,0.51,87100,0.28,71000,0.25,21978,0.76,895229,0.89
2021-04-08,2017306,0.35,1177833,0.50,86700,0.28,68000,0.24,22579,0.72,877834,0.90
2021-04-07,1989179,0.34,1172362,0.50,85500,0.28,66700,0.23,23469,0.73,858593,0.90
2021-04-06,1946071,0.34,1155101,0.50,85800,0.28,66200,0.23,21695,0.72,840351,0.92
2021-04-05,1822134,0.33,1088750,0.48,87000,0.28,67700,0.24,19970,0.71,832239,0.91
2021-04-04,951260,0.41,519812,0.52,40900,0.45,47700,0.46,11632,0.60,749910,0.84
2021-04-03,1319964,0.47,750682,0.63,47700,0.42,68800,0.46,12735,0.86,779701,0.83
2021-04-02,1760768,0.37,958085,0.54,79800,0.26,66800,0.23,18839,0.77,845252,0.87
2021-04-01,1845249,0.31,1030209,0.44,77300,0.25,55500,0.19,20490,0.65,856466,0.88
2021-03-31,1812072,0.31,995873,0.42,84900,0.27,61600,0.22,20374,0.63,833052,0.89
2021-03-30,1885343,0.33,1079381,0.46,91300,0.29,65600,0.24,21019,0.70,842154,0.93
2021-03-29,1745540,0.31,1002597,0.44,86500,0.28,62400,0.23,18543,0.65,763647,0.85
2021-03-28,807247,0.36,459949,0.47,28300,0.33,29900,0.32,9104,0.52,601860,0.74
2021-03-27,1374266,0.42,781981,0.56,47500,0.44,63600,0.47,12900,0.75,841595,0.91
2021-03-26,1941782,0.35,1091753,0.49,84400,0.27,64500,0.23,20805,0.73,865970,0.88
2021-03-25,1929515,0.33,1127964,0.48,83600,0.27,61200,0.22,21763,0.71,847633,0.88
2021-03-24,1831662,0.32,1075968,0.47,79600,0.25,56500,0.20,21651,0.69,794315,0.86
2021-03-23,1883301,0.33,1133504,0.48,83100,0.27,58700,0.21,21590,0.71,810243,0.90
2021-03-22,1805084,0.33,1095241,0.49,84200,0.27,61100,0.22,20427,0.72,788542,0.89
2021-03-21,1013386,0.42,579358,0.54,34700,0.40,37600,0.40,10358,0.56,735673,0.84
2021-03-20,1307403,0.43,768908,0.58,41700,0.39,54900,0.40,12558,0.76,787777,0.89
2021-03-19,1910080,0.35,1083647,0.51,80000,0.26,60700,0.22,20357,0.72,863187,0.90
2021-03-18,1774375,0.32,1019472,0.47,76500,0.24,55400,0.20,20264,0.69,799478,0.87
2021-03-17,1869879,0.33,1103979,0.47,81400,0.26,58400,0.21,22323,0.70,808876,0.88
2021-03-16,1801682,0.32,1062179,0.46,77700,0.25,56400,0.20,20903,0.68,786996,0.87
2021-03-15,1733288,0.32,1023990,0.46,79300,0.25,55800,0.20,19986,0.71,774146,0.87
2021-03-14,923968,0.38,531754,0.52,30400,0.35,31800,0.34,9732,0.53,673170,0.80
2021-03-13,1257372,0.39,730218,0.54,38500,0.36,52300,0.39,11932,0.71,776744,0.86
2021-03-12,1917972,0.34,1092388,0.49,82400,0.26,63200,0.23,21724,0.75,873014,0.88
2021-03-11,1885584,0.32,1107502,0.47,80400,0.26,59000,0.21,22617,0.72,836773,0.87
2021-03-10,1852702,0.32,1104610,0.47,78100,0.25,58100,0.21,22774,0.71,804700,0.87
2021-03-09,1837670,0.32,1101988,0.47,79300,0.25,57700,0.21,22200,0.72,791512,0.87
2021-03-08,1722930,0.31,1039763,0.45,79400,0.25,56100,0.20,20685,0.72,767707,0.85
2021-03-07,894177,0.42,525930,0.59,29300,0.34,30700,0.33,9843,0.57,662461,0.86
2021-03-06,1167887,0.38,696719,0.51,37200,0.34,45300,0.33,11951,0.68,728236,0.81
2021-03-05,1829185,0.32,1041408,0.47,79100,0.25,58600,0.21,21842,0.75,846071,0.86
2021-03-04,1812200,0.31,1078036,0.48,78600,0.25,55100,0.20,21727,0.70,807284,0.86
2021-03-03,1850000,0.33,1119137,0.50,78800,0.25,55500,0.20,22823,0.72,798577,0.88
2021-03-02,1752983,0.31,1024511,0.45,75300,0.24,51600,0.19,20640,0.67,763489,0.85
2021-03-01,1699607,0.39,1020837,0.65,74400,0.24,51300,0.19,20359,0.86,747909,1.09
2021-02-28,811043,0.36,491545,0.50,23800,0.30,27700,0.30,8910,0.53,619960,0.79
2021-02-27,1074256,0.38,635820,0.51,28800,0.29,38900,0.30,11319,0.63,681969,0.81
2021-02-26,1826171,0.33,1065376,0.50,76700,0.25,56500,0.21,21911,0.69,851052,0.89
2021-02-25,1801708,0.32,1069420,0.48,75000,0.25,53400,0.20,22138,0.68,814611,0.88
2021-02-24,1809852,0.32,1099351,0.49,74800,0.24,53500,0.20,23223,0.70,797488,0.90
2021-02-23,1733604,0.31,1040398,0.47,73500,0.24,51600,0.19,20852,0.65,759850,0.87
2021-02-22,1585133,0.29,927414,0.42,69700,0.23,48900,0.18,19015,0.63,691608,0.80
2021-02-21,837051,0.37,516715,0.51,25200,0.32,27300,0.30,9195,0.46,605395,0.76
2021-02-20,1111970,0.38,679240,0.54,30900,0.31,41200,0.31,10578,0.60,657045,0.79
2021-02-19,1568728,0.30,809308,0.43,64100,0.21,48700,0.18,14172,0.48,608152,0.65
2021-02-18,1384407,0.26,725951,0.37,58000,0.19,43000,0.16,15843,0.50,456327,0.50
2021-02-17,1736509,0.32,1061711,0.52,74200,0.24,53700,0.20,22336,0.68,821333,0.93
2021-02-16,1630739,0.32,963223,0.50,72700,0.24,49900,0.19,19126,0.62,726224,0.85
2021-02-15,1220357,0.38,726412,0.53,65700,0.21,30000,0.33,11437,0.70,641883,0.81
2021-02-14,858877,0.37,479319,0.49,23400,0.29,28200,0.31,7835,0.41,551288,0.73
2021-02-13,1093261,0.39,656637,0.58,29300,0.30,40800,0.31,11669,0.71,666722,0.81
2021-02-12,1709253,0.31,965421,0.46,72100,0.24,53700,0.20,20165,0.65,803912,0.82
2021-02-11,1717804,0.30,1005348,0.46,70200,0.23,50500,0.19,20144,0.61,755367,0.83
2021-02-10,1753405,0.32,1052021,0.46,71300,0.23,50100,0.19,22169,0.65,769088,0.87
2021-02-09,1669590,0.30,992290,0.45,69500,0.23,47600,0.18,19386,0.59,682085,0.79
2021-02-08,1642828,0.31,964007,0.45,71000,0.23,50900,0.19,17786,0.59,701146,0.83
2021-02-07,653257,0.29,367095,0.37,17100,0.22,19400,0.21,7115,0.36,340122,0.44
2021-02-06,1149757,0.39,715717,0.56,29200,0.30,40300,0.31,12020,0.66,689415,0.83
2021-02-05,1744130,0.32,1001775,0.48,68900,0.23,51300,0.19,20136,0.65,766091,0.84
2021-02-04,1789214,0.32,1033791,0.47,71300,0.23,51000,0.19,20328,0.63,742193,0.84
2021-02-03,1705655,0.30,949695,0.42,69100,0.23,49700,0.18,16869,0.50,656614,0.75
2021-02-02,1007502,0.18,543073,0.24,22800,0.07,30600,0.11,8155,0.25,311607,0.36
2021-02-01,584184,0.11,337228,0.15,8600,0.03,16700,0.06,12202,0.41,156759,0.18
2021-01-31,723473,0.32,427945,0.44,23100,0.28,28400,0.26,8616,0.44,573512,0.82
2021-01-30,943426,0.33,566837,0.45,26600,0.27,40800,0.26,10284,0.61,652550,0.83
2021-01-29,1514326,0.28,812264,0.38,65100,0.22,49700,0.18,19047,0.61,780131,0.84
2021-01-28,1650014,0.29,950205,0.43,70000,0.23,52000,0.19,20139,0.64,768600,0.89
2021-01-27,1663376,0.30,1004792,0.45,70400,0.23,50500,0.18,19841,0.61,740154,0.85
2021-01-26,1553918,0.28,911579,0.41,68200,0.23,49300,0.18,18115,0.57,653068,0.76
2021-01-25,1595694,0.30,978987,0.47,73100,0.24,52100,0.19,19991,0.68,727393,0.86
2021-01-24,741960,0.32,458203,0.46,24000,0.29,29000,0.27,8317,0.45,560522,0.73
2021-01-23,998665,0.38,619673,0.60,27900,0.29,42700,0.27,10536,0.66,640381,0.86
2021-01-22,1675175,0.31,1018584,0.49,71300,0.24,54000,0.19,20375,0.67,787474,0.85
2021-01-21,1656100,0.30,1007042,0.47,71200,0.24,52000,0.19,19925,0.63,760221,0.85
2021-01-20,1578038,0.29,921371,0.43,67900,0.22,50000,0.18,19281,0.59,712711,0.82
2021-01-19,1639243,0.31,1013616,0.49,72600,0.24,52600,0.19,21049,0.67,736254,0.85
2021-01-18,1279119,0.40,766926,0.59,68700,0.23,31900,0.11,14124,0.90,689251,0.87
2021-01-17,798564,0.35,504031,0.53,24200,0.29,32900,0.31,9880,0.58,580771,0.83
2021-01-16,992599,0.38,645625,0.64,27100,0.28,43400,0.28,11654,0.83,631135,0.98
2021-01-15,1630098,0.31,981817,0.48,70200,0.23,54000,0.19,21819,0.72,788779,0.83
2021-01-14,1650630,0.30,1017757,0.47,70900,0.23,52500,0.19,21950,0.69,754071,0.83
2021-01-13,1644812,0.30,996646,0.45,70600,0.23,51700,0.19,22720,0.68,737859,0.83
2021-01-12,1643725,0.30,997279,0.46,71400,0.24,52100,0.19,21623,0.67,730831,0.85
2021-01-11,1571330,0.30,966517,0.45,72300,0.24,51400,0.18,21089,0.71,708058,0.84
2021-01-10,763690,0.33,501437,0.50,23800,0.29,29300,0.27,9467,0.49,564543,0.75
2021-01-09,991218,0.33,643475,0.49,27000,0.28,42900,0.27,12023,0.66,630790,0.76
2021-01-08,1622259,0.30,982175,0.46,68600,0.23,51500,0.18,21641,0.70,754548,0.83
2021-01-07,1614248,0.30,989097,0.47,69700,0.23,51000,0.18,21571,0.68,736609,0.83
2021-01-06,1616889,0.30,996123,0.47,70300,0.23,50800,0.18,22795,0.71,726679,0.85
2021-01-05,1600910,0.30,990479,0.46,70400,0.23,51000,0.18,21641,0.69,708610,0.84
2021-01-04,1561237,0.30,964597,0.46,71100,0.23,50900,0.18,20612,0.69,688045,0.83
2021-01-03,653915,0.29,413820,0.44,20800,0.25,25200,0.23,9745,0.52,496494,0.71
2021-01-02,989612,0.35,608686,0.51,28900,0.29,44500,0.28,10450,0.65,624765,0.85
2021-01-01,614497,0.27,378288,0.50,29000,0.10,8200,0.08,5960,0.70,445950,0.54
2020-12-31,1277146,0.32,780869,0.49,75200,0.24,21600,0.20,17167,0.69,704297,0.86
2020-12-30,1585476,0.37,935138,0.61,79300,0.25,58000,0.21,20922,0.85,799839,1.20
2020-12-29,1558295,0.36,918291,0.60,78900,0.25,56200,0.20,19717,0.80,759864,0.96
2020-12-28,1513195,0.35,902574,0.59,81600,0.26,58500,0.21,18820,0.77,743305,0.91
2020-12-27,761251,0.30,469973,0.50,34400,0.32,33200,0.31,9457,0.53,594862,0.76
2020-12-26,880184,0.28,555857,0.46,36000,0.28,42400,0.27,9094,0.60,593895,0.70
2020-12-25,485839,0.28,312707,0.47,51300,0.16,7300,0.07,8611,0.58,476547,0.54
2020-12-24,1314656,0.36,813353,0.53,75800,0.24,54600,0.20,15928,0.72,760624,0.90
2020-12-23,1775738,0.37,1033609,0.57,84400,0.27,59700,0.21,23305,0.86,864271,1.13
2020-12-22,1764202,0.37,1031789,0.56,82000,0.26,56400,0.20,22820,0.85,814975,0.90
2020-12-21,1719279,0.36,1011638,0.55,81200,0.26,56800,0.20,21647,0.80,777049,0.84
2020-12-20,822001,0.31,516601,0.50,32600,0.31,30500,0.28,9585,0.48,555254,0.66
2020-12-19,1112852,0.35,669751,0.53,41100,0.32,46600,0.30,11589,0.67,651814,0.72
2020-12-18,1738727,0.31,938457,0.45,74900,0.24,54400,0.19,17537,0.56,736356,0.74
2020-12-17,1081431,0.19,525802,0.26,21400,0.07,17600,0.06,9940,0.31,297298,0.31
2020-12-16,1571978,0.27,854245,0.39,68100,0.22,47600,0.17,19296,0.58,625006,0.66
2020-12-15,1786741,0.31,1076717,0.53,78400,0.25,54600,0.20,23432,0.74,819063,0.95
2020-12-14,1587068,0.28,950309,0.44,75000,0.24,51500,0.18,21333,0.71,723908,0.80
2020-12-13,911519,0.32,579527,0.55,39300,0.37,36800,0.34,10208,0.52,659446,0.78
2020-12-12,1091372,0.32,704357,0.55,41800,0.33,46400,0.30,12307,0.69,671668,0.76
2020-12-11,1789568,0.30,1053576,0.50,79700,0.25,55900,0.20,22751,0.74,821871,0.84
2020-12-10,1764682,0.29,1066582,0.48,76800,0.24,52800,0.19,22845,0.70,784406,0.80
2020-12-09,1705159,0.29,1017090,0.46,74700,0.24,50900,0.18,22459,0.72,749886,0.85
2020-12-08,1544078,0.26,1029646,0.46,75000,0.24,51900,0.19,22177,0.68,744112,0.82
2020-12-07,1659836,0.30,1018044,0.50,77800,0.25,52600,0.19,21424,0.72,729674,0.83
2020-12-06,879278,0.33,545433,0.53,35100,0.33,31900,0.30,9904,0.51,590525,0.72
2020-12-05,1001236,0.28,619735,0.47,33500,0.26,37900,0.24,10151,0.55,572557,0.64
2020-12-04,1704749,0.29,1012813,0.46,72100,0.23,51700,0.19,21960,0.71,775709,0.79
2020-12-03,1739370,0.29,1056963,0.46,75100,0.24,52000,0.19,22941,0.70,767310,0.80
2020-12-02,1703245,0.29,1018368,0.45,73600,0.23,50500,0.18,22712,0.67,746840,0.80
2020-12-01,1709780,0.29,1051162,0.47,73600,0.23,50200,0.18,21693,0.72,752069,0.84
2020-11-30,1462166,0.28,819615,0.42,80000,0.24,54200,0.19,19751,0.75,652664,0.85
2020-11-29,827800,0.41,545820,0.67,32600,0.35,34400,0.33,9360,0.62,631799,0.87
2020-11-28,1034026,0.37,684962,0.56,37800,0.33,45600,0.30,10808,0.76,649087,0.72
2020-11-27,1265519,0.36,812188,0.57,77300,0.24,12300,0.12,12395,0.83,671214,0.84
2020-11-26,653123,0.31,443386,0.54,72600,0.22,10700,0.10,12151,0.57,564193,0.63
2020-11-25,1691393,0.32,1032401,0.48,93400,0.28,67200,0.23,21450,0.78,853222,0.86
2020-11-24,1739107,0.30,1064087,0.46,89800,0.27,61100,0.21,22814,0.72,821450,0.82
2020-11-23,1649748,0.29,1002977,0.44,87700,0.27,59500,0.21,21297,0.71,755375,0.83
2020-11-22,818055,0.36,543514,0.58,31000,0.33,31900,0.31,10694,0.59,598349,0.79
2020-11-21,1157976,0.36,750818,0.55,39200,0.34,51200,0.34,13193,0.78,742369,0.83
2020-11-20,1803896,0.31,1073124,0.49,87400,0.27,60400,0.21,22945,0.75,843069,0.86
2020-11-19,1761064,0.29,1058467,0.45,84700,0.26,57800,0.20,21780,0.67,800461,0.83
2020-11-18,1791183,0.30,1072627,0.46,84100,0.26,57700,0.20,23390,0.70,776422,0.84
2020-11-17,1792431,0.30,1094353,0.47,87000,0.26,58600,0.20,22524,0.69,764725,0.84
2020-11-16,1745282,0.31,1051458,0.48,89500,0.27,61400,0.21,21851,0.74,757988,0.86
2020-11-15,821555,0.34,524515,0.52,30900,0.33,32900,0.32,9763,0.52,596389,0.73
2020-11-14,1215491,0.38,755714,0.57,41400,0.36,58000,0.38,12928,0.74,735029,0.81
2020-11-13,1820025,0.31,1061880,0.48,86300,0.26,61000,0.21,22054,0.70,821059,0.83
2020-11-12,1780212,0.30,1058761,0.46,86200,0.26,58200,0.20,22059,0.67,779141,0.81
2020-11-11,1617862,0.34,968853,0.53,83300,0.25,21200,0.20,20263,0.92,713640,0.78
2020-11-10,1840750,0.32,1146090,0.52,91500,0.28,63000,0.22,23138,0.72,800965,0.90
2020-11-09,1756175,0.30,1099361,0.50,91700,0.28,62400,0.22,21444,0.68,773217,0.91
2020-11-08,928516,0.37,584868,0.56,38500,0.41,44000,0.42,10474,0.54,726041,0.85
2020-11-07,1246356,0.39,749502,0.57,46400,0.40,66300,0.44,13409,0.76,790712,0.87
2020-11-06,1840860,0.31,1114000,0.51,89500,0.27,65000,0.23,22659,0.77,858167,0.88
2020-11-05,1797589,0.30,1125820,0.48,87000,0.26,59900,0.21,22937,0.71,818991,0.86
2020-11-04,1693937,0.28,1083036,0.46,81600,0.25,56400,0.20,22174,0.67,754704,0.81
2020-11-03,1606096,0.29,1017551,0.48,82100,0.25,58100,0.20,20416,0.67,720562,0.81
2020-11-02,1751443,0.30,1064298,0.46,87200,0.27,59400,0.21,21127,0.70,772129,0.84
2020-11-01,786678,0.27,510667,0.52,29500,0.31,35500,0.34,10180,0.60,660915,0.85
2020-10-31,1174079,0.35,724129,0.52,41500,0.37,63600,0.42,12816,0.70,743811,0.80
2020-10-30,1771288,0.30,1004498,0.44,84300,0.27,65900,0.23,21243,0.70,824680,0.83
2020-10-29,1708611,0.30,974119,0.45,81800,0.26,60300,0.21,20925,0.72,776467,0.88
